Portfolio name,Unit ID,Holding name,Allocation,Asset class,Rebate,
iShares Enhanced Strategic Moderate,ILB,Ishares Government Inflation Etf,8.10,Australian Fixed Interest,0,
iShares Enhanced Strategic Moderate,IOZ,Ishares Core S&P/ASX 200 Etf,12.90,Australian Equities,0,
iShares Enhanced Strategic Moderate,ISEC,Ishares Enhanced Cash Etf,6.70,Australian Fixed Interest,0,
iShares Enhanced Strategic Moderate,IVV,Ishares S&P 500 Etf,9.10,International Equities,0,
iShares Enhanced Strategic Moderate,IZZ,Ishares China Large-Cap Etf,1.90,International Equities,0,
iShares Enhanced Strategic Balanced,AESG,Ishares Global Aggregate Bond Esg (Aud Hedged) Etf,4.80,International Fixed Interest,0,
iShares Enhanced Strategic Balanced,CASHACCT,Cash Account,2.00,Cash,0,
iShares Enhanced Strategic Balanced,EMXC,Ishares Msci Emerging Markets EX China Etf,4.70,International Equities,0,
iShares Enhanced Strategic Balanced,GLDN,Ishares Physical Gold Etf,3.50,Alternative,0,
iShares Enhanced Strategic Balanced,GLIN, iShares Core FTSE Global Infrastructure (AUD Hedged) ETF,5.00,International Property and Infrastructure,0,
iShares Enhanced Strategic Balanced,GLPR,Ishares Ftse Gbl Property EX Aus (Aud Hedged) Etf,1.00,International Property and Infrastructure,0,
iShares Enhanced Strategic Balanced,IACT,Ishares U.S. Factor Rotation Active Etf,4.00,International Equities,0,
iShares Enhanced Strategic Balanced,IAF,Ishares Core Composite Bond Etf,6.60,Australian Fixed Interest,0,
iShares Enhanced Strategic Balanced,IEM,Ishares Msci Emerging Markets Etf,3.00,International Equities,0,
iShares Enhanced Strategic Balanced,IEU,Ishares Europe Etf,4.40,International Equities,0,
iShares Enhanced Strategic Balanced,IGB,Ishares Treasury Etf,3.40,Australian Fixed Interest,0,
iShares Enhanced Strategic Balanced,IHHY,Ishares Global High Yield Bond (Aud Hedged) Etf,1.00,International Fixed Interest,0,
iShares Enhanced Strategic Balanced,IHVV,Ishares S&P 500 Aud Hedged Etf,11.60,International Equities,0,
iShares Enhanced Strategic Balanced,IJP,Ishares Msci Japan Etf,3.70,International Equities,0,
iShares Enhanced Strategic Balanced,ILB,Ishares Government Inflation Etf,5.10,Australian Fixed Interest,0,
iShares Enhanced Strategic Balanced,IOZ,Ishares Core S&P/ASX 200 Etf,20.90,Australian Equities,0,
iShares Enhanced Strategic Balanced,ISEC,Ishares Enhanced Cash Etf,1.10,Australian Fixed Interest,0,
iShares Enhanced Strategic Balanced,IVV,Ishares S&P 500 Etf,12.00,International Equities,0,
iShares Enhanced Strategic Balanced,IZZ,Ishares China Large-Cap Etf,2.20,International Equities,0,
iShares Enhanced Strategic Growth,EMXC,Ishares Msci Emerging Markets EX China Etf,5.10,International Equities,0,
iShares Enhanced Strategic Growth,GLDN,Ishares Physical Gold Etf,3.20,Alternative,0,
iShares Enhanced Strategic Growth,GLIN, iShares Core FTSE Global Infrastructure (AUD Hedged) ETF,6.10,International Property and Infrastructure,0,
iShares Enhanced Strategic Growth,GLPR,Ishares Ftse Gbl Property EX Aus (Aud Hedged) Etf,1.00,International Property and Infrastructure,0,
iShares Enhanced Strategic Growth,IACT,Ishares U.S. Factor Rotation Active Etf,5.00,International Equities,0,
iShares Enhanced Strategic Growth,IAF,Ishares Core Composite Bond Etf,1.00,Australian Fixed Interest,0,
iShares Enhanced Strategic Growth,IEM,Ishares Msci Emerging Markets Etf,4.10,International Equities,0,
iShares Enhanced Strategic Growth,IEU,Ishares Europe Etf,5.90,International Equities,0,
iShares Enhanced Strategic Growth,IGB,Ishares Treasury Etf,1.90,Australian Fixed Interest,0,
iShares Enhanced Strategic Growth,IHVV,Ishares S&P 500 Aud Hedged Etf,14.60,International Equities,0,
iShares Enhanced Strategic Growth,IJP,Ishares Msci Japan Etf,4.30,International Equities,0,
iShares Enhanced Strategic Growth,ILB,Ishares Government Inflation Etf,3.10,Australian Fixed Interest,0,
iShares Enhanced Strategic Growth,IOZ,Ishares Core S&P/ASX 200 Etf,25.90,Australian Equities,0,
iShares Enhanced Strategic Growth,IVV,Ishares S&P 500 Etf,14.50,International Equities,0,
iShares Enhanced Strategic Growth,CASHACCT,Cash Account,2.00,Cash,0,
iShares Enhanced Strategic Growth,IZZ,Ishares China Large-Cap Etf,2.30,International Equities,0,
iShares Enhanced Strategic Aggressive,EMXC,Ishares Msci Emerging Markets EX China Etf,5.80,International Equities,0,
iShares Enhanced Strategic Aggressive,GLIN, iShares Core FTSE Global Infrastructure (AUD Hedged) ETF,5.10,International Property and Infrastructure,0,
iShares Enhanced Strategic Aggressive,GLPR,Ishares Ftse Gbl Property EX Aus (Aud Hedged) Etf,1.00,International Property and Infrastructure,0,
iShares Enhanced Strategic Aggressive,IACT,Ishares U.S. Factor Rotation Active Etf,6.00,International Equities,0,
iShares Enhanced Strategic Aggressive,IEM,Ishares Msci Emerging Markets Etf,4.10,International Equities,0,
iShares Enhanced Strategic Aggressive,IEU,Ishares Europe Etf,6.90,International Equities,0,
iShares Enhanced Strategic Aggressive,IHVV,Ishares S&P 500 Aud Hedged Etf,17.10,International Equities,0,
iShares Enhanced Strategic Aggressive,IJP,Ishares Msci Japan Etf,4.60,International Equities,0,
iShares Enhanced Strategic Aggressive,IOZ,Ishares Core S&P/ASX 200 Etf,29.20,Australian Equities,0,
iShares Enhanced Strategic Aggressive,IVV,Ishares S&P 500 Etf,15.70,International Equities,0,
iShares Enhanced Strategic Aggressive,IZZ,Ishares China Large-Cap Etf,2.50,International Equities,0,
iShares Enhanced Strategic Aggressive,CASHACCT,Cash Account,2.00,Cash,0,
