MyNorth Investment Manager Onboarding Questionnaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page Four: Portfolio Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All information required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Part 1: General portfolio details,,Response,,,,,,,,Part 1: General portfolio details,,Response,,,,,,,,Part 1: General portfolio details,,Response,,,Progress,0.076923077,,,,Part 1: General portfolio details,,Response,,,Progress,0.076923077,,,,Part 1: General portfolio details,,Response,,,Progress,0.076923077,,,,Part 1: General portfolio details,,Response,,,Progress,0.076923077,,,,Part 1: General portfolio details,,Response,,,Progress,0.076923077,,,,Part 1: General portfolio details,,Response,,,Progress,0.076923077,,,,Part 1: General portfolio details,,Response,,,Progress,0.076923077,,,,Part 1: General portfolio details,,Response,,,Progress,0.076923077
11,Minimum investment horizon,10 years plus,,,,,,,,11,Minimum investment horizon,2 years plus,,,,,,,,11,Minimum investment horizon,,,,,,,,,11,Minimum investment horizon,,,,,,,,,11,Minimum investment horizon,,,,,,,,,11,Minimum investment horizon,,,,,,,,,11,Minimum investment horizon,,,,,,,,,11,Minimum investment horizon,,,,,,,,,11,Minimum investment horizon,,,,,,,,,11,Minimum investment horizon,,,,,
12,Probability of achieving portfolio objectives,0.6058,,,,,,,,12,Probability of achieving portfolio objectives,0.797,,,,,,,,12,Probability of achieving portfolio objectives,,,,,,,,,12,Probability of achieving portfolio objectives,,,,,,,,,12,Probability of achieving portfolio objectives,,,,,,,,,12,Probability of achieving portfolio objectives,,,,,,,,,12,Probability of achieving portfolio objectives,,,,,,,,,12,Probability of achieving portfolio objectives,,,,,,,,,12,Probability of achieving portfolio objectives,,,,,,,,,12,Probability of achieving portfolio objectives,,,,,
13,"Describe the investment strategy and approach for this portfolio
- Include ESG information if applicable","The portfolio is actively managed within allowable ranges and contains exposure to approximately 2% of income assets (cash and fixed interest) and 98% of growth assets (shares, property, infrastructure and alternatives), depending on market conditions. Over the medium term the portfolio manager may adjust the portfolio, within allowable ranges, in response to evolving market conditions, economic indicators and valuation signals. The aim is to enhance returns or manage risk by taking into account cyclical trends rather than relying on static long-term assumptions.",,,,,,,,13,"Describe the investment strategy and approach for this portfolio
- Include ESG information if applicable","The portfolio is actively managed within allowable ranges and contains exposure to approximately 100% of income assets (cash and fixed interest) and 0% of growth assets (shares, property, infrastructure and alternatives), depending on market conditions. Over the medium term the portfolio manager may adjust the portfolio, within allowable ranges, in response to evolving market conditions, economic indicators and valuation signals. The aim is to enhance returns or manage risk by taking into account cyclical trends rather than relying on static long-term assumptions.",,,,,,,,13,"Describe the investment strategy and approach for this portfolio
- Include ESG information if applicable",,,,,,,,,13,"Describe the investment strategy and approach for this portfolio
- Include ESG information if applicable",,,,,,,,,13,"Describe the investment strategy and approach for this portfolio
- Include ESG information if applicable",,,,,,,,,13,"Describe the investment strategy and approach for this portfolio
- Include ESG information if applicable",,,,,,,,,13,"Describe the investment strategy and approach for this portfolio
- Include ESG information if applicable",,,,,,,,,13,"Describe the investment strategy and approach for this portfolio
- Include ESG information if applicable",,,,,,,,,13,"Describe the investment strategy and approach for this portfolio
- Include ESG information if applicable",,,,,,,,,13,"Describe the investment strategy and approach for this portfolio
- Include ESG information if applicable",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Part 2: Equivalent strategies - Managed fund/SMA/Model (if applicable),,Response,,,,,,,,Part 2: Equivalent strategies - Managed fund/SMA/Model (if applicable),,Response,,,,,,,,Part 2: Equivalent strategies - Managed fund/SMA/Model (if applicable),,Response,,,Progress,0,,,,Part 2: Equivalent strategies - Managed fund/SMA/Model (if applicable),,Response,,,Progress,0,,,,Part 2: Equivalent strategies - Managed fund/SMA/Model (if applicable),,Response,,,Progress,0,,,,Part 2: Equivalent strategies - Managed fund/SMA/Model (if applicable),,Response,,,Progress,0,,,,Part 2: Equivalent strategies - Managed fund/SMA/Model (if applicable),,Response,,,Progress,0,,,,Part 2: Equivalent strategies - Managed fund/SMA/Model (if applicable),,Response,,,Progress,0,,,,Part 2: Equivalent strategies - Managed fund/SMA/Model (if applicable),,Response,,,Progress,0,,,,Part 2: Equivalent strategies - Managed fund/SMA/Model (if applicable),,Response,,,Progress,0
1,Is the portfolio based on an equivalent existing strategy that has a track record?,No,,,,,,,,1,Is the portfolio based on an equivalent existing strategy that has a track record?,No,,,,,,,,1,Is the portfolio based on an equivalent existing strategy that has a track record?,,,,,,,,,1,Is the portfolio based on an equivalent existing strategy that has a track record?,,,,,,,,,1,Is the portfolio based on an equivalent existing strategy that has a track record?,,,,,,,,,1,Is the portfolio based on an equivalent existing strategy that has a track record?,,,,,,,,,1,Is the portfolio based on an equivalent existing strategy that has a track record?,,,,,,,,,1,Is the portfolio based on an equivalent existing strategy that has a track record?,,,,,,,,,1,Is the portfolio based on an equivalent existing strategy that has a track record?,,,,,,,,,1,Is the portfolio based on an equivalent existing strategy that has a track record?,,,,,
2,"If yes, please provide the name of the equivalent strategy",,,,,,,,,2,"If yes, please provide the name of the equivalent strategy",,,,,,,,,2,"If yes, please provide the name of the equivalent strategy",,,,,,,,,2,"If yes, please provide the name of the equivalent strategy",,,,,,,,,2,"If yes, please provide the name of the equivalent strategy",,,,,,,,,2,"If yes, please provide the name of the equivalent strategy",,,,,,,,,2,"If yes, please provide the name of the equivalent strategy",,,,,,,,,2,"If yes, please provide the name of the equivalent strategy",,,,,,,,,2,"If yes, please provide the name of the equivalent strategy",,,,,,,,,2,"If yes, please provide the name of the equivalent strategy",,,,,
3,Provide the equivalent strategy APIR code (if applicable),,,,,,,,,3,Provide the equivalent strategy APIR code (if applicable),,,,,,,,,3,Provide the equivalent strategy APIR code (if applicable),,,,,,,,,3,Provide the equivalent strategy APIR code (if applicable),,,,,,,,,3,Provide the equivalent strategy APIR code (if applicable),,,,,,,,,3,Provide the equivalent strategy APIR code (if applicable),,,,,,,,,3,Provide the equivalent strategy APIR code (if applicable),,,,,,,,,3,Provide the equivalent strategy APIR code (if applicable),,,,,,,,,3,Provide the equivalent strategy APIR code (if applicable),,,,,,,,,3,Provide the equivalent strategy APIR code (if applicable),,,,,
4,Explain any actual or likely differences between the portfolio and the equivalent strategy?,,,,,,,,,4,Explain any actual or likely differences between the portfolio and the equivalent strategy?,,,,,,,,,4,Explain any actual or likely differences between the portfolio and the equivalent strategy?,,,,,,,,,4,Explain any actual or likely differences between the portfolio and the equivalent strategy?,,,,,,,,,4,Explain any actual or likely differences between the portfolio and the equivalent strategy?,,,,,,,,,4,Explain any actual or likely differences between the portfolio and the equivalent strategy?,,,,,,,,,4,Explain any actual or likely differences between the portfolio and the equivalent strategy?,,,,,,,,,4,Explain any actual or likely differences between the portfolio and the equivalent strategy?,,,,,,,,,4,Explain any actual or likely differences between the portfolio and the equivalent strategy?,,,,,,,,,4,Explain any actual or likely differences between the portfolio and the equivalent strategy?,,,,,
5,How does you approach any potential conflicts arising as a result of running a similar strategy across different structures? E.g. timing of trades and the potential to 'front run',,,,,,,,,5,How does you approach any potential conflicts arising as a result of running a similar strategy across different structures? E.g. timing of trades and the potential to 'front run',,,,,,,,,5,How does you approach any potential conflicts arising as a result of running a similar strategy across different structures? E.g. timing of trades and the potential to 'front run',,,,,,,,,5,How does you approach any potential conflicts arising as a result of running a similar strategy across different structures? E.g. timing of trades and the potential to 'front run',,,,,,,,,5,How does you approach any potential conflicts arising as a result of running a similar strategy across different structures? E.g. timing of trades and the potential to 'front run',,,,,,,,,5,How does you approach any potential conflicts arising as a result of running a similar strategy across different structures? E.g. timing of trades and the potential to 'front run',,,,,,,,,5,How does you approach any potential conflicts arising as a result of running a similar strategy across different structures? E.g. timing of trades and the potential to 'front run',,,,,,,,,5,How does you approach any potential conflicts arising as a result of running a similar strategy across different structures? E.g. timing of trades and the potential to 'front run',,,,,,,,,5,How does you approach any potential conflicts arising as a result of running a similar strategy across different structures? E.g. timing of trades and the potential to 'front run',,,,,,,,,5,How does you approach any potential conflicts arising as a result of running a similar strategy across different structures? E.g. timing of trades and the potential to 'front run',,,,,
6,Provide the monthly Managed Portfolio performance (net of fees),,,,,,,,,6,Provide the monthly Managed Portfolio performance (net of fees),,,,,,,,,6,Provide the monthly Managed Portfolio performance (net of fees),,,,,,,,,6,Provide the monthly Managed Portfolio performance (net of fees),,,,,,,,,6,Provide the monthly Managed Portfolio performance (net of fees),,,,,,,,,6,Provide the monthly Managed Portfolio performance (net of fees),,,,,,,,,6,Provide the monthly Managed Portfolio performance (net of fees),,,,,,,,,6,Provide the monthly Managed Portfolio performance (net of fees),,,,,,,,,6,Provide the monthly Managed Portfolio performance (net of fees),,,,,,,,,6,Provide the monthly Managed Portfolio performance (net of fees),,,,,
7,Provide the monthly Implemented Portfolio performance of the portfolio on a pre existing platform,,,,,,,,,7,Provide the monthly Implemented Portfolio performance of the portfolio on a pre existing platform,,,,,,,,,7,Provide the monthly Implemented Portfolio performance of the portfolio on a pre existing platform,,,,,,,,,7,Provide the monthly Implemented Portfolio performance of the portfolio on a pre existing platform,,,,,,,,,7,Provide the monthly Implemented Portfolio performance of the portfolio on a pre existing platform,,,,,,,,,7,Provide the monthly Implemented Portfolio performance of the portfolio on a pre existing platform,,,,,,,,,7,Provide the monthly Implemented Portfolio performance of the portfolio on a pre existing platform,,,,,,,,,7,Provide the monthly Implemented Portfolio performance of the portfolio on a pre existing platform,,,,,,,,,7,Provide the monthly Implemented Portfolio performance of the portfolio on a pre existing platform,,,,,,,,,7,Provide the monthly Implemented Portfolio performance of the portfolio on a pre existing platform,,,,,
8,What is the expected stock holdings (MIS vs managed portfolio) overlap with any of your funds?,,,,,,,,,8,What is the expected stock holdings (MIS vs managed portfolio) overlap with any of your funds?,,,,,,,,,8,What is the expected stock holdings (MIS vs managed portfolio) overlap with any of your funds?,,,,,,,,,8,What is the expected stock holdings (MIS vs managed portfolio) overlap with any of your funds?,,,,,,,,,8,What is the expected stock holdings (MIS vs managed portfolio) overlap with any of your funds?,,,,,,,,,8,What is the expected stock holdings (MIS vs managed portfolio) overlap with any of your funds?,,,,,,,,,8,What is the expected stock holdings (MIS vs managed portfolio) overlap with any of your funds?,,,,,,,,,8,What is the expected stock holdings (MIS vs managed portfolio) overlap with any of your funds?,,,,,,,,,8,What is the expected stock holdings (MIS vs managed portfolio) overlap with any of your funds?,,,,,,,,,8,What is the expected stock holdings (MIS vs managed portfolio) overlap with any of your funds?,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Part 3: Portfolio management information,,Response,,,,,,,,Part 3: Portfolio management information,,Response,,,,,,,,Part 3: Portfolio management information,,Response,,,Progress,0,,,,Part 3: Portfolio management information,,Response,,,Progress,0,,,,Part 3: Portfolio management information,,Response,,,Progress,0,,,,Part 3: Portfolio management information,,Response,,,Progress,0,,,,Part 3: Portfolio management information,,Response,,,Progress,0,,,,Part 3: Portfolio management information,,Response,,,Progress,0,,,,Part 3: Portfolio management information,,Response,,,Progress,0,,,,Part 3: Portfolio management information,,Response,,,Progress,0
1,What is the minimum number of investment options held in the portfolio? (please clarify the asset category of investment options),10,,,,,,,,1,What is the minimum number of investment options held in the portfolio? (please clarify the asset category of investment options),10,,,,,,,,1,What is the minimum number of investment options held in the portfolio? (please clarify the asset category of investment options),,,,,,,,,1,What is the minimum number of investment options held in the portfolio? (please clarify the asset category of investment options),,,,,,,,,1,What is the minimum number of investment options held in the portfolio? (please clarify the asset category of investment options),,,,,,,,,1,What is the minimum number of investment options held in the portfolio? (please clarify the asset category of investment options),,,,,,,,,1,What is the minimum number of investment options held in the portfolio? (please clarify the asset category of investment options),,,,,,,,,1,What is the minimum number of investment options held in the portfolio? (please clarify the asset category of investment options),,,,,,,,,1,What is the minimum number of investment options held in the portfolio? (please clarify the asset category of investment options),,,,,,,,,1,What is the minimum number of investment options held in the portfolio? (please clarify the asset category of investment options),,,,,
2,What is the maximum number of investment options held in the portfolio? (please clarify the asset category of investment options),30,,,,,,,,2,What is the maximum number of investment options held in the portfolio? (please clarify the asset category of investment options),30,,,,,,,,2,What is the maximum number of investment options held in the portfolio? (please clarify the asset category of investment options),,,,,,,,,2,What is the maximum number of investment options held in the portfolio? (please clarify the asset category of investment options),,,,,,,,,2,What is the maximum number of investment options held in the portfolio? (please clarify the asset category of investment options),,,,,,,,,2,What is the maximum number of investment options held in the portfolio? (please clarify the asset category of investment options),,,,,,,,,2,What is the maximum number of investment options held in the portfolio? (please clarify the asset category of investment options),,,,,,,,,2,What is the maximum number of investment options held in the portfolio? (please clarify the asset category of investment options),,,,,,,,,2,What is the maximum number of investment options held in the portfolio? (please clarify the asset category of investment options),,,,,,,,,2,What is the maximum number of investment options held in the portfolio? (please clarify the asset category of investment options),,,,,
3,What is the minimum absolute single asset position? (%),0.01,,,,,,,,3,What is the minimum absolute single asset position? (%),0.01,,,,,,,,3,What is the minimum absolute single asset position? (%),,,,,,,,,3,What is the minimum absolute single asset position? (%),,,,,,,,,3,What is the minimum absolute single asset position? (%),,,,,,,,,3,What is the minimum absolute single asset position? (%),,,,,,,,,3,What is the minimum absolute single asset position? (%),,,,,,,,,3,What is the minimum absolute single asset position? (%),,,,,,,,,3,What is the minimum absolute single asset position? (%),,,,,,,,,3,What is the minimum absolute single asset position? (%),,,,,
4,What is the maximum absolute single asset position? (%),0.3,,,,,,,,4,What is the maximum absolute single asset position? (%),0.3,,,,,,,,4,What is the maximum absolute single asset position? (%),,,,,,,,,4,What is the maximum absolute single asset position? (%),,,,,,,,,4,What is the maximum absolute single asset position? (%),,,,,,,,,4,What is the maximum absolute single asset position? (%),,,,,,,,,4,What is the maximum absolute single asset position? (%),,,,,,,,,4,What is the maximum absolute single asset position? (%),,,,,,,,,4,What is the maximum absolute single asset position? (%),,,,,,,,,4,What is the maximum absolute single asset position? (%),,,,,
5,What is the minimum single asset position for any new asset? (%),0.01,,,,,,,,5,What is the minimum single asset position for any new asset? (%),0.01,,,,,,,,5,What is the minimum single asset position for any new asset? (%),,,,,,,,,5,What is the minimum single asset position for any new asset? (%),,,,,,,,,5,What is the minimum single asset position for any new asset? (%),,,,,,,,,5,What is the minimum single asset position for any new asset? (%),,,,,,,,,5,What is the minimum single asset position for any new asset? (%),,,,,,,,,5,What is the minimum single asset position for any new asset? (%),,,,,,,,,5,What is the minimum single asset position for any new asset? (%),,,,,,,,,5,What is the minimum single asset position for any new asset? (%),,,,,
6,"Target volatility (or other risk target TE, VaR, CVaR)",,,,,,,,,6,"Target volatility (or other risk target TE, VaR, CVaR)",,,,,,,,,6,"Target volatility (or other risk target TE, VaR, CVaR)",,,,,,,,,6,"Target volatility (or other risk target TE, VaR, CVaR)",,,,,,,,,6,"Target volatility (or other risk target TE, VaR, CVaR)",,,,,,,,,6,"Target volatility (or other risk target TE, VaR, CVaR)",,,,,,,,,6,"Target volatility (or other risk target TE, VaR, CVaR)",,,,,,,,,6,"Target volatility (or other risk target TE, VaR, CVaR)",,,,,,,,,6,"Target volatility (or other risk target TE, VaR, CVaR)",,,,,,,,,6,"Target volatility (or other risk target TE, VaR, CVaR)",,,,,
7,Will income be reinvested or paid to the platform cash account by default?,Reinvested,,,,,,,,7,Will income be reinvested or paid to the platform cash account by default?,Reinvested,,,,,,,,7,Will income be reinvested or paid to the platform cash account by default?,,,,,,,,,7,Will income be reinvested or paid to the platform cash account by default?,,,,,,,,,7,Will income be reinvested or paid to the platform cash account by default?,,,,,,,,,7,Will income be reinvested or paid to the platform cash account by default?,,,,,,,,,7,Will income be reinvested or paid to the platform cash account by default?,,,,,,,,,7,Will income be reinvested or paid to the platform cash account by default?,,,,,,,,,7,Will income be reinvested or paid to the platform cash account by default?,,,,,,,,,7,Will income be reinvested or paid to the platform cash account by default?,,,,,
8,Minimum Cash buffer? (1% minimum required),0.01,,,,,,,,8,Minimum Cash buffer? (1% minimum required),0.01,,,,,,,,8,Minimum Cash buffer? (1% minimum required),,,,,,,,,8,Minimum Cash buffer? (1% minimum required),,,,,,,,,8,Minimum Cash buffer? (1% minimum required),,,,,,,,,8,Minimum Cash buffer? (1% minimum required),,,,,,,,,8,Minimum Cash buffer? (1% minimum required),,,,,,,,,8,Minimum Cash buffer? (1% minimum required),,,,,,,,,8,Minimum Cash buffer? (1% minimum required),,,,,,,,,8,Minimum Cash buffer? (1% minimum required),,,,,
9,Is the trading preference active or rebalance?,Active,,,,,,,,9,Is the trading preference active or rebalance?,Active,,,,,,,,9,Is the trading preference active or rebalance?,,,,,,,,,9,Is the trading preference active or rebalance?,,,,,,,,,9,Is the trading preference active or rebalance?,,,,,,,,,9,Is the trading preference active or rebalance?,,,,,,,,,9,Is the trading preference active or rebalance?,,,,,,,,,9,Is the trading preference active or rebalance?,,,,,,,,,9,Is the trading preference active or rebalance?,,,,,,,,,9,Is the trading preference active or rebalance?,,,,,
Portfolio management - Listed Assets ONLY,,Response,,,,,,,,Portfolio management - Listed Assets ONLY,,Response,,,,,,,,Portfolio management - Listed Assets ONLY,,Response,,,,,,,,Portfolio management - Listed Assets ONLY,,Response,,,,,,,,Portfolio management - Listed Assets ONLY,,Response,,,,,,,,Portfolio management - Listed Assets ONLY,,Response,,,,,,,,Portfolio management - Listed Assets ONLY,,Response,,,,,,,,Portfolio management - Listed Assets ONLY,,Response,,,,,,,,Portfolio management - Listed Assets ONLY,,Response,,,,,,,,Portfolio management - Listed Assets ONLY,,Response,,,,
1,Expected Turnover (p.a.),,,,,,,,,1,Expected Turnover (p.a.),,,,,,,,,1,Expected Turnover (p.a.),,,,,,,,,1,Expected Turnover (p.a.),,,,,,,,,1,Expected Turnover (p.a.),,,,,,,,,1,Expected Turnover (p.a.),,,,,,,,,1,Expected Turnover (p.a.),,,,,,,,,1,Expected Turnover (p.a.),,,,,,,,,1,Expected Turnover (p.a.),,,,,,,,,1,Expected Turnover (p.a.),,,,,
2,Active Stock Limits (+/- benchmark weight),,,,,,,,,2,Active Stock Limits (+/- benchmark weight),,,,,,,,,2,Active Stock Limits (+/- benchmark weight),,,,,,,,,2,Active Stock Limits (+/- benchmark weight),,,,,,,,,2,Active Stock Limits (+/- benchmark weight),,,,,,,,,2,Active Stock Limits (+/- benchmark weight),,,,,,,,,2,Active Stock Limits (+/- benchmark weight),,,,,,,,,2,Active Stock Limits (+/- benchmark weight),,,,,,,,,2,Active Stock Limits (+/- benchmark weight),,,,,,,,,2,Active Stock Limits (+/- benchmark weight),,,,,
